freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.792e+04,2.304e+02,3.902e+02,1.854e+04
1.7,7.817e+04,9.884e+02,1.441e+03,8.060e+04
3.4,1.068e+05,1.201e+03,1.735e+03,1.097e+05
5.1,1.109e+05,1.326e+03,1.545e+03,1.137e+05
6.8,1.409e+05,1.398e+03,1.468e+03,1.437e+05
8.5,1.936e+05,1.420e+03,1.826e+03,1.969e+05
10.2,2.768e+05,1.572e+03,2.092e+03,2.805e+05
11.9,3.721e+05,1.833e+03,2.035e+03,3.759e+05
13.6,5.920e+05,2.195e+03,2.582e+03,5.968e+05
15.3,9.634e+05,3.661e+03,3.761e+03,9.708e+05
17.0,1.959e+06,6.957e+03,5.489e+03,1.971e+06
18.7,3.671e+06,2.284e+04,1.062e+04,3.704e+06
20.4,5.151e+06,4.773e+04,2.429e+04,5.223e+06
22.1,5.591e+06,6.551e+04,4.387e+04,5.701e+06
23.8,3.770e+06,4.671e+04,5.016e+04,3.866e+06
25.5,2.482e+06,3.451e+04,5.509e+04,2.571e+06
27.2,2.005e+06,2.686e+04,5.196e+04,2.084e+06
28.9,1.371e+06,1.340e+04,4.085e+04,1.425e+06
30.6,1.054e+06,1.214e+04,7.256e+04,1.138e+06
32.3,8.400e+05,1.277e+04,9.432e+04,9.471e+05
34.0,7.213e+05,1.355e+04,6.048e+04,7.953e+05
35.7,4.811e+05,1.081e+04,2.350e+04,5.154e+05
37.5,2.839e+05,6.837e+03,1.089e+04,3.016e+05
39.2,1.789e+05,3.651e+03,6.176e+03,1.887e+05
40.9,1.401e+05,3.153e+03,4.881e+03,1.481e+05
42.6,1.192e+05,2.518e+03,4.223e+03,1.259e+05
44.3,1.176e+05,2.232e+03,3.627e+03,1.235e+05
46.0,1.337e+05,2.537e+03,3.666e+03,1.399e+05
47.7,1.503e+05,2.470e+03,3.661e+03,1.565e+05
49.4,1.599e+05,2.504e+03,4.190e+03,1.666e+05
51.1,1.308e+05,2.616e+03,3.712e+03,1.371e+05
52.8,1.003e+05,2.533e+03,3.424e+03,1.063e+05
54.5,7.122e+04,2.460e+03,2.968e+03,7.665e+04
56.2,6.426e+04,2.273e+03,3.842e+03,7.038e+04
57.9,5.112e+04,2.292e+03,4.649e+03,5.806e+04
59.6,5.715e+04,2.532e+03,5.570e+03,6.525e+04
61.3,6.738e+04,2.263e+03,7.206e+03,7.685e+04
63.0,7.153e+04,2.551e+03,1.014e+04,8.422e+04
64.7,8.161e+04,2.900e+03,1.255e+04,9.706e+04
66.4,6.463e+04,2.742e+03,1.524e+04,8.261e+04
68.1,5.074e+04,2.736e+03,1.922e+04,7.270e+04
69.8,4.669e+04,3.685e+03,1.929e+04,6.966e+04
71.5,4.613e+04,4.903e+03,1.882e+04,6.986e+04
73.2,4.830e+04,4.971e+03,1.248e+04,6.575e+04
74.9,5.600e+04,5.605e+03,7.349e+03,6.896e+04
76.6,5.579e+04,5.903e+03,6.158e+03,6.785e+04
78.3,4.654e+04,4.728e+03,5.238e+03,5.650e+04
80.0,4.521e+04,4.437e+03,5.709e+03,5.536e+04
81.7,4.282e+04,3.507e+03,4.710e+03,5.103e+04
83.4,4.872e+04,2.792e+03,3.860e+03,5.537e+04
85.1,8.249e+04,3.119e+03,4.458e+03,9.007e+04
86.8,1.102e+05,2.915e+03,4.298e+03,1.174e+05
88.5,1.385e+05,2.666e+03,4.558e+03,1.458e+05
90.2,1.640e+05,2.787e+03,7.046e+03,1.738e+05
91.9,1.043e+05,2.307e+03,9.325e+03,1.160e+05
93.6,5.967e+04,1.868e+03,1.123e+04,7.277e+04
95.3,6.816e+04,2.259e+03,1.462e+04,8.504e+04
97.0,6.539e+04,2.186e+03,1.248e+04,8.006e+04
98.7,6.845e+04,2.683e+03,1.391e+04,8.505e+04
100.4,8.409e+04,2.770e+03,1.354e+04,1.004e+05
102.1,8.831e+04,2.692e+03,1.312e+04,1.041e+05
103.8,1.107e+05,6.384e+03,2.352e+04,1.406e+05
105.5,1.390e+05,1.367e+04,5.088e+04,2.035e+05
107.2,1.519e+05,1.463e+04,4.288e+04,2.094e+05
108.9,1.304e+05,1.231e+04,2.839e+04,1.711e+05
110.6,1.427e+05,1.286e+04,2.909e+04,1.847e+05
112.4,1.189e+05,7.913e+03,1.437e+04,1.412e+05
114.1,1.216e+05,5.267e+03,7.925e+03,1.348e+05
115.8,1.170e+05,4.754e+03,8.560e+03,1.303e+05
117.5,1.640e+05,5.977e+03,1.227e+04,1.822e+05
119.2,1.832e+05,6.358e+03,1.458e+04,2.042e+05
120.9,1.911e+05,5.623e+03,1.458e+04,2.113e+05
122.6,2.328e+05,5.510e+03,1.603e+04,2.544e+05
124.3,1.989e+05,4.299e+03,1.520e+04,2.184e+05
126.0,1.820e+05,3.896e+03,1.980e+04,2.057e+05
127.7,1.518e+05,3.224e+03,1.894e+04,1.740e+05
129.4,1.082e+05,2.317e+03,1.505e+04,1.256e+05
131.1,6.772e+04,1.903e+03,1.395e+04,8.357e+04
132.8,7.267e+04,2.345e+03,2.059e+04,9.560e+04
134.5,5.386e+04,2.299e+03,2.106e+04,7.722e+04
136.2,3.673e+04,1.713e+03,1.398e+04,5.242e+04
137.9,3.976e+04,1.545e+03,1.224e+04,5.355e+04
139.6,4.166e+04,1.480e+03,1.226e+04,5.540e+04
141.3,3.519e+04,1.541e+03,1.157e+04,4.830e+04
143.0,3.396e+04,1.561e+03,1.294e+04,4.847e+04
144.7,3.662e+04,1.599e+03,1.187e+04,5.009e+04
