freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.696e+02,1.339e+04,1.081e+03,1.524e+04
1.7,4.248e+03,4.918e+04,4.232e+03,5.766e+04
3.4,5.662e+03,6.471e+04,4.463e+03,7.484e+04
5.1,4.980e+03,9.601e+04,5.097e+03,1.061e+05
6.8,4.615e+03,1.383e+05,5.593e+03,1.485e+05
8.5,4.320e+03,1.902e+05,5.854e+03,2.003e+05
10.2,5.078e+03,2.955e+05,7.598e+03,3.082e+05
11.9,6.033e+03,6.430e+05,1.327e+04,6.623e+05
13.6,6.645e+03,1.372e+06,2.547e+04,1.404e+06
15.3,6.521e+03,2.515e+06,5.573e+04,2.577e+06
17.0,7.042e+03,2.300e+06,7.460e+04,2.382e+06
18.7,9.344e+03,2.397e+06,1.098e+05,2.517e+06
20.4,1.057e+04,1.734e+06,1.287e+05,1.873e+06
22.1,1.320e+04,1.016e+06,1.353e+05,1.165e+06
23.8,1.731e+04,7.134e+05,1.568e+05,8.875e+05
25.5,2.292e+04,5.904e+05,2.238e+05,8.371e+05
27.2,2.049e+04,3.921e+05,2.258e+05,6.384e+05
28.9,4.126e+04,2.068e+05,2.025e+05,4.505e+05
30.6,1.030e+05,1.509e+05,2.169e+05,4.707e+05
32.3,1.045e+05,1.196e+05,2.088e+05,4.330e+05
34.0,7.890e+04,1.266e+05,1.701e+05,3.756e+05
35.7,5.559e+04,1.015e+05,8.984e+04,2.470e+05
37.4,3.632e+04,6.326e+04,3.560e+04,1.352e+05
39.1,1.684e+04,4.198e+04,1.418e+04,7.299e+04
40.8,1.394e+04,3.312e+04,1.001e+04,5.706e+04
42.5,1.650e+04,2.781e+04,6.818e+03,5.113e+04
44.2,1.854e+04,2.853e+04,6.522e+03,5.359e+04
45.9,1.858e+04,2.427e+04,4.807e+03,4.766e+04
47.6,1.983e+04,2.023e+04,5.270e+03,4.533e+04
49.3,2.107e+04,1.936e+04,4.812e+03,4.525e+04
51.0,1.743e+04,2.110e+04,4.693e+03,4.323e+04
52.7,2.028e+04,1.906e+04,5.029e+03,4.436e+04
54.4,1.943e+04,1.753e+04,4.275e+03,4.124e+04
56.1,1.254e+04,1.762e+04,3.669e+03,3.383e+04
57.8,1.356e+04,1.916e+04,3.951e+03,3.667e+04
59.5,1.884e+04,2.084e+04,4.896e+03,4.457e+04
61.2,2.066e+04,2.149e+04,6.749e+03,4.890e+04
62.9,1.599e+04,1.882e+04,7.931e+03,4.274e+04
64.6,1.422e+04,1.880e+04,9.118e+03,4.213e+04
66.3,1.563e+04,1.617e+04,1.098e+04,4.278e+04
68.0,1.148e+04,1.256e+04,7.748e+03,3.178e+04
69.7,7.680e+03,1.227e+04,5.163e+03,2.512e+04
71.4,6.907e+03,1.090e+04,4.492e+03,2.229e+04
73.0,7.997e+03,1.058e+04,3.881e+03,2.246e+04
74.7,9.089e+03,1.034e+04,3.646e+03,2.308e+04
76.4,8.158e+03,1.127e+04,3.541e+03,2.297e+04
78.1,7.305e+03,1.145e+04,3.901e+03,2.266e+04
79.8,6.028e+03,1.082e+04,3.333e+03,2.019e+04
81.5,6.341e+03,9.982e+03,3.178e+03,1.950e+04
83.2,6.997e+03,9.735e+03,2.695e+03,1.943e+04
84.9,7.738e+03,1.101e+04,2.825e+03,2.157e+04
86.6,9.394e+03,1.091e+04,2.906e+03,2.321e+04
88.3,1.293e+04,1.103e+04,3.574e+03,2.753e+04
90.0,2.658e+04,1.028e+04,5.256e+03,4.211e+04
91.7,2.891e+04,1.213e+04,7.956e+03,4.900e+04
93.4,2.039e+04,1.232e+04,1.090e+04,4.361e+04
95.1,1.380e+04,1.004e+04,8.840e+03,3.268e+04
96.8,1.370e+04,1.024e+04,7.716e+03,3.165e+04
98.5,1.506e+04,8.931e+03,6.472e+03,3.047e+04
100.2,1.899e+04,9.214e+03,6.324e+03,3.453e+04
101.9,1.631e+04,9.889e+03,6.772e+03,3.297e+04
103.6,1.507e+04,9.413e+03,7.770e+03,3.225e+04
105.3,1.773e+04,9.581e+03,9.738e+03,3.705e+04
107.0,1.958e+04,1.119e+04,1.169e+04,4.246e+04
108.7,2.007e+04,1.090e+04,1.185e+04,4.282e+04
110.4,2.002e+04,1.184e+04,1.258e+04,4.443e+04
112.1,2.203e+04,1.232e+04,1.377e+04,4.811e+04
113.8,2.604e+04,1.249e+04,1.476e+04,5.328e+04
115.5,4.795e+04,2.163e+04,3.364e+04,1.032e+05
