freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.597e+04,2.347e+02,2.573e+02,2.646e+04
1.7,1.110e+05,1.178e+03,1.171e+03,1.133e+05
3.4,1.540e+05,1.475e+03,1.480e+03,1.569e+05
5.1,1.669e+05,1.712e+03,1.696e+03,1.703e+05
6.7,2.087e+05,1.634e+03,1.803e+03,2.121e+05
8.4,2.597e+05,1.516e+03,1.867e+03,2.631e+05
10.1,3.616e+05,1.574e+03,1.955e+03,3.651e+05
11.8,5.259e+05,2.239e+03,2.437e+03,5.306e+05
13.5,7.509e+05,2.583e+03,2.876e+03,7.564e+05
15.2,1.239e+06,4.254e+03,3.782e+03,1.247e+06
16.9,2.195e+06,7.761e+03,5.963e+03,2.208e+06
18.5,4.508e+06,2.104e+04,1.356e+04,4.542e+06
20.2,6.630e+06,4.078e+04,3.084e+04,6.702e+06
21.9,7.844e+06,6.997e+04,5.514e+04,7.969e+06
23.6,6.193e+06,8.305e+04,8.156e+04,6.358e+06
25.3,4.210e+06,7.118e+04,8.152e+04,4.362e+06
27.0,3.364e+06,5.536e+04,6.568e+04,3.485e+06
28.7,2.138e+06,2.818e+04,2.762e+04,2.194e+06
30.3,1.729e+06,1.903e+04,1.676e+04,1.765e+06
32.0,1.341e+06,1.302e+04,1.207e+04,1.366e+06
33.7,9.599e+05,9.080e+03,9.046e+03,9.780e+05
35.4,6.410e+05,6.823e+03,6.626e+03,6.544e+05
37.1,3.745e+05,5.813e+03,5.166e+03,3.855e+05
38.8,2.235e+05,4.510e+03,4.418e+03,2.324e+05
40.5,1.860e+05,2.671e+03,4.509e+03,1.932e+05
42.1,1.714e+05,3.035e+03,5.763e+03,1.802e+05
43.8,1.467e+05,3.793e+03,6.857e+03,1.573e+05
45.5,1.532e+05,3.818e+03,5.542e+03,1.625e+05
47.2,1.705e+05,3.368e+03,3.663e+03,1.776e+05
48.9,2.079e+05,3.475e+03,3.822e+03,2.152e+05
50.6,2.304e+05,4.052e+03,4.151e+03,2.386e+05
52.2,1.918e+05,3.909e+03,3.341e+03,1.990e+05
53.9,1.544e+05,3.475e+03,3.057e+03,1.610e+05
55.6,1.385e+05,3.320e+03,3.203e+03,1.450e+05
