freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.623e+02,2.641e+04,1.783e+03,2.896e+04
1.7,3.233e+03,9.127e+04,6.342e+03,1.008e+05
3.4,3.845e+03,1.202e+05,7.351e+03,1.314e+05
5.1,5.137e+03,1.569e+05,7.487e+03,1.695e+05
6.8,5.151e+03,1.798e+05,7.845e+03,1.928e+05
8.5,4.751e+03,2.575e+05,8.866e+03,2.711e+05
10.2,5.138e+03,4.085e+05,1.116e+04,4.248e+05
11.9,5.954e+03,7.745e+05,1.555e+04,7.960e+05
13.6,6.107e+03,1.639e+06,3.004e+04,1.675e+06
15.3,7.609e+03,2.818e+06,6.472e+04,2.891e+06
17.0,9.574e+03,3.772e+06,1.104e+05,3.892e+06
18.7,9.737e+03,3.266e+06,1.396e+05,3.416e+06
20.3,9.746e+03,2.336e+06,1.538e+05,2.500e+06
22.0,1.546e+04,1.492e+06,1.630e+05,1.671e+06
23.7,2.400e+04,1.051e+06,1.908e+05,1.266e+06
25.4,2.655e+04,8.114e+05,2.505e+05,1.088e+06
27.1,2.010e+04,5.444e+05,2.790e+05,8.436e+05
28.8,1.916e+04,3.245e+05,3.608e+05,7.045e+05
30.5,2.608e+04,2.396e+05,4.531e+05,7.188e+05
32.2,3.774e+04,2.056e+05,4.295e+05,6.728e+05
33.9,4.211e+04,1.826e+05,3.006e+05,5.253e+05
35.6,3.228e+04,1.413e+05,1.629e+05,3.364e+05
37.3,2.363e+04,8.803e+04,7.157e+04,1.832e+05
39.0,1.525e+04,6.003e+04,3.485e+04,1.101e+05
40.7,1.016e+04,4.528e+04,1.719e+04,7.262e+04
42.4,1.006e+04,3.524e+04,1.189e+04,5.719e+04
44.1,9.297e+03,3.208e+04,1.037e+04,5.175e+04
45.8,9.772e+03,3.282e+04,8.603e+03,5.119e+04
47.5,1.181e+04,2.651e+04,7.616e+03,4.593e+04
49.2,1.686e+04,2.322e+04,6.445e+03,4.652e+04
50.9,2.083e+04,2.421e+04,6.867e+03,5.191e+04
52.6,2.378e+04,2.565e+04,5.852e+03,5.528e+04
54.3,2.525e+04,2.315e+04,5.147e+03,5.355e+04
56.0,1.982e+04,2.510e+04,5.477e+03,5.040e+04
57.7,3.144e+04,2.623e+04,6.224e+03,6.389e+04
59.4,5.317e+04,2.671e+04,6.634e+03,8.651e+04
61.0,4.847e+04,2.853e+04,8.952e+03,8.595e+04
62.7,3.326e+04,3.119e+04,1.487e+04,7.933e+04
64.4,1.954e+04,2.511e+04,1.569e+04,6.034e+04
66.1,1.049e+04,2.097e+04,1.549e+04,4.695e+04
67.8,7.513e+03,1.817e+04,1.084e+04,3.653e+04
69.5,7.018e+03,1.682e+04,7.770e+03,3.160e+04
71.2,7.797e+03,1.630e+04,5.740e+03,2.984e+04
72.9,6.817e+03,1.386e+04,4.010e+03,2.468e+04
74.6,5.601e+03,1.406e+04,4.002e+03,2.366e+04
76.3,5.438e+03,1.400e+04,4.887e+03,2.432e+04
78.0,6.883e+03,1.236e+04,4.718e+03,2.396e+04
79.7,7.606e+03,1.225e+04,4.212e+03,2.406e+04
81.4,8.506e+03,1.324e+04,4.357e+03,2.610e+04
83.1,1.134e+04,1.249e+04,3.723e+03,2.756e+04
84.8,1.935e+04,1.087e+04,3.491e+03,3.371e+04
86.5,3.845e+04,1.121e+04,4.628e+03,5.429e+04
88.2,1.074e+05,1.290e+04,6.261e+03,1.266e+05
89.9,1.182e+05,1.362e+04,5.963e+03,1.378e+05
91.6,5.245e+04,1.181e+04,4.639e+03,6.889e+04
93.3,2.580e+04,1.133e+04,4.488e+03,4.161e+04
95.0,1.703e+04,9.959e+03,4.293e+03,3.128e+04
96.7,8.143e+03,9.360e+03,4.820e+03,2.232e+04
98.4,9.767e+03,1.071e+04,5.392e+03,2.587e+04
100.1,1.314e+04,1.078e+04,5.012e+03,2.893e+04
101.7,1.404e+04,1.113e+04,5.685e+03,3.086e+04
103.4,1.564e+04,1.323e+04,8.634e+03,3.750e+04
105.1,1.580e+04,1.308e+04,9.784e+03,3.867e+04
106.8,1.690e+04,1.106e+04,1.016e+04,3.812e+04
108.5,1.526e+04,1.057e+04,1.020e+04,3.604e+04
110.2,1.768e+04,1.125e+04,1.077e+04,3.970e+04
111.9,2.455e+04,1.258e+04,1.436e+04,5.149e+04
113.6,3.228e+04,1.641e+04,2.207e+04,7.075e+04
115.3,5.173e+04,1.552e+04,2.670e+04,9.395e+04
117.0,1.084e+05,1.509e+04,3.438e+04,1.578e+05
118.7,1.785e+05,1.619e+04,4.434e+04,2.391e+05
120.4,1.331e+05,1.421e+04,3.341e+04,1.808e+05
122.1,9.205e+04,1.080e+04,2.052e+04,1.234e+05
123.8,1.037e+05,1.092e+04,1.786e+04,1.325e+05
125.5,7.188e+04,1.230e+04,1.442e+04,9.860e+04
127.2,4.132e+04,1.048e+04,9.748e+03,6.154e+04
128.9,4.421e+04,9.818e+03,8.330e+03,6.236e+04
130.6,3.562e+04,8.198e+03,7.012e+03,5.083e+04
132.3,2.114e+04,8.188e+03,5.511e+03,3.484e+04
134.0,1.642e+04,8.942e+03,5.383e+03,3.075e+04
135.7,1.837e+04,8.684e+03,4.852e+03,3.190e+04
137.4,1.475e+04,8.365e+03,4.530e+03,2.764e+04
139.1,1.283e+04,7.564e+03,4.562e+03,2.496e+04
140.8,1.464e+04,8.884e+03,4.536e+03,2.806e+04
142.4,1.819e+04,1.137e+04,4.939e+03,3.450e+04
144.1,2.119e+04,1.199e+04,3.902e+03,3.707e+04
145.8,3.345e+04,1.515e+04,4.366e+03,5.297e+04
147.5,3.887e+04,1.882e+04,4.435e+03,6.212e+04
149.2,3.858e+04,2.139e+04,4.042e+03,6.401e+04
150.9,3.643e+04,2.372e+04,3.960e+03,6.411e+04
152.6,2.975e+04,2.663e+04,4.677e+03,6.106e+04
154.3,2.263e+04,2.829e+04,4.929e+03,5.584e+04
156.0,1.891e+04,2.443e+04,4.515e+03,4.786e+04
157.7,1.205e+04,1.938e+04,4.905e+03,3.633e+04
159.4,1.239e+04,2.170e+04,4.304e+03,3.839e+04
161.1,1.330e+04,1.712e+04,3.570e+03,3.399e+04
162.8,1.030e+04,1.697e+04,2.808e+03,3.008e+04
164.5,7.520e+03,1.416e+04,2.648e+03,2.432e+04
166.2,6.043e+03,1.230e+04,2.519e+03,2.087e+04
167.9,5.223e+03,1.082e+04,3.236e+03,1.928e+04
169.6,5.159e+03,9.608e+03,4.148e+03,1.892e+04
171.3,4.202e+03,8.381e+03,4.097e+03,1.668e+04
173.0,4.147e+03,6.484e+03,3.375e+03,1.401e+04
174.7,3.937e+03,6.709e+03,3.829e+03,1.447e+04
176.4,3.884e+03,9.077e+03,4.331e+03,1.729e+04
178.1,3.965e+03,8.267e+03,4.219e+03,1.645e+04
179.8,3.447e+03,5.888e+03,3.197e+03,1.253e+04
181.5,2.766e+03,4.585e+03,2.976e+03,1.033e+04
183.1,3.080e+03,4.814e+03,3.297e+03,1.119e+04
184.8,2.896e+03,4.075e+03,3.072e+03,1.004e+04
186.5,3.515e+03,3.621e+03,3.671e+03,1.081e+04
188.2,3.294e+03,3.369e+03,3.496e+03,1.016e+04
189.9,2.801e+03,2.987e+03,3.268e+03,9.056e+03
191.6,2.286e+03,2.819e+03,3.321e+03,8.427e+03
193.3,2.296e+03,3.253e+03,3.577e+03,9.126e+03
195.0,2.116e+03,3.040e+03,4.055e+03,9.210e+03
196.7,1.726e+03,3.094e+03,3.643e+03,8.463e+03
198.4,1.828e+03,3.064e+03,3.513e+03,8.406e+03
